material_number,material_description,our_cost
PDAS10ISPA32G12,MOTOR STARTER 32A W/ACCESS,192.87
PDSB10A10P1RLCB,CB 10A 1P 480VAC G-TRIP RL-MTD,15.91
336A3499AKG01,11PL,26.44
3VPHE545AMP1,WATT/VAR TRANSDUCER,1552.00
PDSB10A10P2RLCB,CKT-BKR 10A 2P RAIL MTD,37.49
573A381P5A,POTENTIOMETER-2W,10.63
36A359100CRG01,RPL CABLE,1.01
336A3493AAG01,LNPL (LDCC-ADCI/ADGI,17.99
PDGS100A05MV100,SHUNT 100MV 05A,21.46
PDSB10A05P2RLCB,CKT_BRK 5A 2P RAIL MTD,40.11
36B605787ACG01,2PL W/ARCNET G,47.05
36B605796AAG01,ARC-PL CABLE NON KEYED,51.92
336A3485AGG02,DCFB 1APL TO 2TB 25.,15.92
36B605787AAG01,HARNESS  DC2000,39.70
36C774524AAG93,1PL CABLE,26.98
PDSB10A15P1RLCB,CKT BKR 15A 1P RAIL MTD,17.62
PDQB1001Q14P60,TRAN_IGBT 1400V 600A,378.14
68A7178P11A,CAP 2     1000V  10% OIL CASE,23.52
PDCC1000F10P10B,CAP .1  100V  10% CE,1.03
36C774524AAG69,IOPL,12.59
PDDT1000V751DA,MOV 750V RMS/1050J/9,38.85
N402AP8B6,WASHER NO8 STEEL PLAIN,30.27
104X215BA008,FAN MOTOR 230/460VAC,382.16
68A7020P100B,RES 1 OHM 5% 10W WWS,2.09
336A3485AFG01,SDCC 11PL TO 11PLX,18.88
36C774524AAG68,1PL CABLE,17.13
A100G250EA,RES 250     5%  100W WW,33.51
44B379743-G01,REACTOR,1790.44
246B9953BAG3,WATER COOLED BUS,408.98
DS200PCCAG1A,DC2000 PWR CONN,731.09
PDCA1001J28P50,CAP ELEC ALUM MIN BUY 20,143.87
PDFR1000V600A08,FUSE KLDR-8,3.22
36C774524AAG61,4PL CABLE ASSEMBLY,12.24
68A7002P222,RES-2W-CARBON-COMP,4.33
PDFR1000V600L32,FUSE KLDR-3 2/10,5.66
36C774524AAG72,1PLX CABLE ASSEMBLY,28.57
36C774524AAG62,CABLE 1 PL,24.00
36C774524AAG47,IOPL-DC_DX,12.53
36C774524AAG46,"6PL  CABLE       ""DC_DX""",34.78
PDFP1000A32V1Q,FUSE  32AMP  1000VDC  1500VAC,33.71
PDSB10A30P2HPNL,CB 30A 2P 125VDC HYD-MAG P-MTD,63.94
DS200PCCAG10A,POWER CONNECT CARD,262.62
531X307LTBAKG1,CARD I/O TB,311.05
531X305NTBAPG1,ACDC2000 TERMINAL BO,290.20
EUP_FZ1200R33KF2,IGBT 3300V 1200A H-S,1701.88
36C774524AAG70,6PL  CABLE ASM,36.39
IS215ISBBH1A,MODULE ISBB,379.01
104X157AB026,TRANSF-CURRENT 8000T:1,219.75
DS200SVAAG1A,VOLTAGE ATTENUATOR,127.42
IS200DAMCG1A,GATE DRIVE AMP 250A,965.30
36B605796AAG101,ARC-PL CABLE G,64.74
104X157AB056,C.T.5000:1 SPECIAL,174.92
104X157AB013,TRANSF-CURRENT SPECIAL,71.03
IS200BICLH1B,BRIDGE INTERFACE CARD,1154.39
104X215BA030,FAN MOTOR 575VAC MIN BUY 25,395.50
IS200BAIAH1B,PWM2/3 I/O BOARD,1169.14
68A7057P0500,CAP-ELECTROLYTIC,7.91
104X214AA245,FASTNER,5.67
104X166AA055,RELAY,76.04
104X156CA018,TRANSFORMER MULTI-WIND,182.64
104X150GC003,STARTER,308.43
104X152AE002,KEYPAD,46.91
SSH#CS7-PV-22,RELAY ADDER BLOCK 2NO 2NC,11.57
104X152AC080,THERM.SW NC OPENS @ 88C,33.73
104X109AD103,FUSE1.0A250V2AG,1.07
IS200FOSAG1A,FIBER OPTIC I/O,2714.03
IS200FGPAG1A,TOP LEVEL PART NUMBER FOR IS200FGPAG1A,1243.20
104X152AC067,THERMOSWITCH MIN BUY 14,141.22
104X215CA003,FAN  115V  50/60HZ,30.54
68A7056P1B620,CAP-METALLIZED-PAPER,11.82
104X154CB111,2PL RIBBON CABLE ASM.,16.21
104X156AA119,TRANSF-CNTRL 0.500KVA,83.47
IS200DSPXH2D,DRIVE DSP CONTROL CARD   (*4),743.02
36B605796AAG102,ARC-PL CABLE 'G',69.58
IS200DSPXH1D,DRIVE DSP CONTROL CARD,364.52
104X154AA007,TERMINAL BOARD,8.69
36B605796AAG02,ARC-PL CABLE NON KEYED,69.22
138A1065P25,RHEOSTAT-50W,52.66
V151DB40,VARISTOR,100.94
36B605787ACG06A,CBL 2PL W/SLCC CRIMPED  {M},181.17
IC3600KMRC5,RELAY,1145.02
